QTY	  PART NUMBER		          DESCRIPTION			              LOCATION

2X	  DILB32P-223TLF		      32PIN DIP SOCKET		          U2, U5
2x	  SST39SF020A-70-4C-PHE	  32PIN FLASH MEMORY DIP		    U2,U5
2X	  SN74LS148N		          8-3 BINARY ENCODER		        U3, U8
1X	  4608X-102-102LF		      RESISTOR ARRAY 1KOHM 8 PIN	  RN1
1X	  4608X-102-680LF		      RESISTOR ARRAY 68OHM 8 PIN	  RN2
1X	  208-5			              DIP SWITCH 5 POS		          SW1
1x	  22-23-2051		          PIN HEADER 5 POS .100"		    J5
8X	  K104K15X7RF5TL2		      .1UF CERAMIC CAPACITORS		    C1-C8

The headers that poke into the Vs. board itself are standard .100" headers. Find them on Amazon or anywhere really.
